entity_type,id,name,slug,main_category,secondary_categories,short_description,full_description,city,country,address,latitude,longitude,google_maps_url,instagram_url,facebook_url,website_url,whatsapp,phone,opening_hours,payment_methods,parking_info,has_air_conditioning,has_restroom,sells_wholesale,ships_to_brazil,warranty_info,recommended_products,brands,tags,frontier_score,price_score,trust_score,variety_score,service_score,warranty_score,location_score,parking_score,wholesale_score,review_summary,frontier_note,is_featured,is_partner,is_premium,status,last_verified_at,segment,description,minimum_order,product_categories,cuisine_type,price_range,best_for,distance_to_microcentro,amenities,locations,security_level,covered,type,icon,color,is_active,order,title,objective,cover_image
restaurants,restaurant-casa-almoco-centro,Casa Almoço Centro,casa-almoco-centro,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,,,to_verify,,to_verify,,,,,,,,,6.8,,,,,,,,,,Substituir por restaurante real assim que houver validação.,,,,draft,to_verify,,Linha placeholder para cadastrar uma opção econômica próxima ao microcentro.,,,to_verify,$,Rota econômica,,,,,,,,,,,,,
hotels,hotel-bisinnii,Bisinii Hotel Boutique,bisinii-hotel-boutique,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,,,to_verify,,,,,,,,,8.1,,,,,,,,,,Bom candidato para coleção Rota Premium.,,,,draft,to_verify,,Opção de hospedagem mais confortável para quem quer base segura na cidade.,,,,$$$,,to_verify,"Wi-Fi,Estacionamento,Café da manhã",,,,,,,,,,,
hotels,hotel-las-ventanas,Las Ventanas Hotel,las-ventanas-hotel,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,,,to_verify,,,,,,,,,7.4,,,,,,,,,,Validar distância real para o microcentro.,,,,draft,to_verify,,Hotel de apoio para viagens curtas de compra e descanso.,,,,$$,,to_verify,"Wi-Fi,Café da manhã,to_verify",,,,,,,,,,,
hotels,hotel-nobile-cde,Nobile Hotel Ciudad del Este,nobile-hotel-ciudad-del-este,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,,,to_verify,,,,,,,,,7.9,,,,,,,,,,Boa base potencial para roteiro com família ou viagem mais longa.,,,,draft,to_verify,,Opção corporativa para quem quer conforto previsível e logística estável.,,,,$$$,,to_verify,"Wi-Fi,Estacionamento,Restaurante,Piscina",,,,,,,,,,,
exchange_houses,exchange-maxicambios,Maxi Cambios,maxi-cambios,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,to_verify,,,,,,,,,,,7.8,,,,,,,,,,Validar canais oficiais e horários antes de publicar.,,,,draft,to_verify,,Casa de câmbio conhecida por operação em áreas de alto fluxo.,,,,,,,,Microcentro,,,,,,,,,,
exchange_houses,exchange-bonanza,Bonanza Cambios,bonanza-cambios,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,to_verify,,,,,,,,,,,7.3,,,,,,,,,,Cadastrar somente após validar spread e reputação.,,,,draft,to_verify,,Ponto de câmbio para comparação de taxa e conveniência.,,,,,,,,Microcentro,,,,,,,,,,
exchange_houses,exchange-alberdi-cde,Alberdi Cambios,alberdi-cambios-cde,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,to_verify,,,,,,,,,,,7.6,,,,,,,,,,Linha inicial; completar endereços e janelas operacionais.,,,,draft,to_verify,,Marca conhecida na região e candidata para linha de apoio ao viajante.,,,,,,,,to_verify,,,,,,,,,,
parking,parking-shopping-paris,Estacionamento Shopping Paris,estacionamento-shopping-paris,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,,,to_verify,,,,,,,,,,,7.9,,,,,,,,,,Boa base para tecnologia e primeira viagem.,,,,draft,to_verify,,Base útil para operações no entorno do Shopping Paris e Cell Shop.,,,,$$,,,,,Médio,TRUE,,,,,,,,
parking,parking-oasis-plaza,Estacionamento Oasis Plaza,estacionamento-oasis-plaza,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,,,to_verify,,,,,,,,,,,7.5,,,,,,,,,,Interessante para quem quer menos atrito logístico.,,,,draft,to_verify,,Opção com proposta de acesso mais confortável e circulação mais calma.,,,,$$,,,,,Médio,TRUE,,,,,,,,
parking,parking-microcentro-economico,Estacionamento Microcentro Econômico,estacionamento-microcentro-economico,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,,,to_verify,,,,,,,,,,,6.5,,,,,,,,,,Substituir por estacionamento real assim que houver validação.,,,,draft,to_verify,,Linha placeholder para mapear uma opção econômica próxima ao centro.,,,,$,,,,,to_verify,FALSE,,,,,,,,
categories,cat-tecnologia,Tecnologia,tecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eletrônicos, celulares e acessórios.",,,,,,,,,,,store,Smartphone,#0EA5E9,TRUE,1,,,
categories,cat-perfumes,Perfumes,perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perfumes, cosméticos e beleza.",,,,,,,,,,,store,Sparkles,#EC4899,TRUE,2,,,
categories,cat-casa,Casa,casa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utilidades, decoração e enxoval.",,,,,,,,,,,store,Home,#F59E0B,TRUE,3,,,
categories,cat-games,Games,games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Consoles, jogos e periféricos.",,,,,,,,,,,store,Gamepad2,#8B5CF6,TRUE,4,,,
categories,cat-moda,Moda,moda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roupas, tênis e acessórios.",,,,,,,,,,,store,Shirt,#FB7185,TRUE,5,,,
categories,cat-moto,Moto,moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peças e acessórios para moto.,,,,,,,,,,,store,Bike,#65A30D,TRUE,6,,,
categories,cat-automotivo,Automotivo,automotivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peças, som e acessórios automotivos.",,,,,,,,,,,store,Car,#475569,TRUE,7,,,
categories,cat-gastronomia,Gastronomia,gastronomia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurantes, cafés e pausas de rota.",,,,,,,,,,,restaurant,UtensilsCrossed,#F97316,TRUE,8,,,
categories,cat-hoteis,Hotéis,hoteis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospedagens de apoio na cidade.,,,,,,,,,,,hotel,Hotel,#64748B,TRUE,9,,,
categories,cat-cambio,Câmbio,cambio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casas de câmbio e serviços de moeda.,,,,,,,,,,,exchange_house,BadgeDollarSign,#10B981,TRUE,10,,,
categories,cat-estacionamento,Estacionamento,estacionamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bases de estacionamento para compras e logística.,,,,,,,,,,,parking,SquareParking,#0F766E,TRUE,11,,,
categories,cat-atacado,Atacado,atacado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Compras de volume e revenda.,,,,,,,,,,,supplier,Boxes,#CA8A04,TRUE,12,,,
categories,cat-primeira-viagem,Primeira Viagem,primeira-viagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curadoria para quem vai à fronteira pela primeira vez.,,,,,,,,,,,collection,Compass,#2563EB,TRUE,13,,,
collections,collection-missao-apple,,missao-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,draft,,,"Rota e curadoria para quem busca iPhone, Apple Watch e acessórios.",,,,,,,,,,,,Smartphone,,,1,Missão Apple,Comprar itens Apple com mais segurança e comparação rápida.,
collections,collection-missao-perfumes,,missao-perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,Seleção de lojas para fragrâncias e cosméticos importados.,,,,,,,,,,,,Sparkles,,,2,Missão Perfumes,Reduzir risco de compra e acelerar decisão em perfumaria.,
collections,collection-missao-gamer,,missao-gamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,"Mapa inicial para consoles, acessórios e presentes gamer.",,,,,,,,,,,,Gamepad2,,,3,Missão Gamer,Ir direto ao que importa para compras gamer.,
collections,collection-missao-casa-nova,,missao-casa-nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,"Itens de casa, enxoval e utilidades em rota dedicada.",,,,,,,,,,,,Home,,,4,Missão Casa Nova,Montar uma compra funcional para casa e presenteáveis.,
collections,collection-missao-revenda,,missao-revenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,draft,,,Lojas e fornecedores para quem compra com olhar de margem.,,,,,,,,,,,,TrendingUp,,,5,Missão Revenda,"Priorizar giro, atacado e compras orientadas por revenda.",
collections,collection-primeira-viagem,,primeira-viagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,Curadoria para atravessar melhor e errar menos na primeira ida.,,,,,,,,,,,,Compass,,,6,Primeira Viagem,Dar clareza e segurança nas primeiras 2 horas de uso.,
collections,collection-presentes-baratos,,presentes-baratos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,Ideias rápidas para presentes com boa percepção de valor.,,,,,,,,,,,,Gift,,,7,Presentes Baratos,Encontrar itens presenteáveis sem dispersão.,
collections,collection-compras-em-familia,,compras-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,Rota mais confortável para quem viaja com família.,,,,,,,,,,,,Users,,,8,Compras em Família,"Equilibrar compra, logística, pausas e conforto.",
collections,collection-rota-economica,,rota-economica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,draft,,,Seleção pensada para quem quer comprar com atenção máxima ao preço.,,,,,,,,,,,,Wallet,,,9,Rota Econômica,Maximizar economia sem virar caos operacional.,
collections,collection-rota-premium,,rota-premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,draft,,,"Percurso com foco em experiência, conforto e estrutura.",,,,,,,,,,,,Crown,,,10,Rota Premium,"Atender quem valoriza segurança, ambiente e conveniência.",
